sample_id,pattern,count,disk_size,initial_head,direction,spread,density,clustering,direction_bias,fcfs_dist,sstf_dist,scan_dist,cscan_dist,best_algorithm
1,random,52,150,6,DOWN,0.8422,0.6933,0.4101,0.2997,2817,292,155,294,SCAN
2,random,26,200,188,UP,0.81,0.2626,0.3661,0.2314,1540,384,209,389,SCAN
3,random,46,150,108,UP,0.7769,0.6525,0.3921,0.2129,2291,194,186,297,SCAN
4,random,17,200,59,UP,0.7375,0.1965,0.4075,0.2612,1331,215,323,394,SSTF
5,random,24,500,332,DOWN,0.8553,0.0966,0.3353,0.264,5169,660,828,987,SSTF
6,random,40,400,142,UP,0.8045,0.2089,0.299,0.2245,5344,623,655,775,SSTF
7,random,22,500,216,DOWN,0.7753,0.0978,0.3515,0.2112,2862,707,690,965,SCAN
8,random,21,200,195,DOWN,0.7793,0.2234,0.3547,0.2209,1541,191,191,191,SSTF
9,random,17,300,49,DOWN,0.6864,0.1382,0.4929,0.308,1577,281,307,528,SSTF
10,random,50,250,206,UP,0.7904,0.4167,0.3926,0.2174,4215,438,285,492,SCAN
11,random,41,400,63,DOWN,0.8518,0.206,0.3308,0.2214,5981,737,462,789,SCAN
12,random,47,250,212,DOWN,0.7859,0.3852,0.3782,0.2153,3284,457,455,497,SCAN
13,random,24,500,35,UP,0.7997,0.1002,0.3564,0.2582,3021,922,962,964,SSTF
14,random,26,250,20,UP,0.773,0.2158,0.3498,0.2206,1901,258,472,484,SSTF
15,random,36,250,116,DOWN,0.8271,0.2927,0.494,0.2501,3217,374,361,494,SCAN
16,random,35,250,53,DOWN,0.8219,0.2905,0.3523,0.2547,3077,288,298,488,SSTF
17,random,55,500,36,UP,0.8307,0.2218,0.4022,0.2222,10256,554,959,979,SSTF
18,random,27,200,118,DOWN,0.728,0.3086,0.368,0.2309,1531,255,313,394,SSTF
19,random,52,500,285,UP,0.8125,0.2127,0.4242,0.2447,8544,763,703,993,SCAN
20,random,32,150,58,UP,0.8046,0.4539,0.422,0.2316,1815,197,239,293,SSTF
21,random,37,250,16,UP,0.7792,0.319,0.3736,0.2177,3258,231,231,231,SSTF
22,random,32,200,167,DOWN,0.82,0.3386,0.3896,0.22,2458,211,357,395,SSTF
23,random,53,300,73,DOWN,0.8368,0.3569,0.4593,0.2135,5189,367,371,598,SSTF
24,random,27,500,287,DOWN,0.8204,0.1095,0.3428,0.23,4652,837,781,992,SCAN
25,random,49,300,298,DOWN,0.7797,0.3475,0.3131,0.2202,4242,291,291,291,SSTF
26,random,26,200,130,DOWN,0.8255,0.2667,0.3225,0.2285,1641,261,327,394,SSTF
27,random,15,150,39,UP,0.7504,0.2362,0.6432,0.2035,529,172,256,296,SSTF
28,random,39,400,32,DOWN,0.8485,0.196,0.4705,0.2384,5810,427,431,790,SSTF
29,random,50,300,270,DOWN,0.8034,0.3436,0.4825,0.2225,4607,559,561,577,SSTF
30,random,12,500,369,UP,0.6831,0.0593,0.2444,0.2302,1890,707,535,961,SCAN
31,random,46,250,196,DOWN,0.807,0.377,0.364,0.2182,3582,291,440,495,SSTF
32,random,30,300,80,DOWN,0.7411,0.219,0.3109,0.294,2300,345,367,595,SSTF
33,random,28,400,390,UP,0.7464,0.1595,0.3598,0.2389,3048,369,387,779,SSTF
34,random,18,500,152,UP,0.7334,0.0813,0.3052,0.284,2807,615,837,971,SSTF
35,random,35,200,138,UP,0.8033,0.3704,0.4559,0.2671,2188,243,255,380,SSTF
36,random,32,300,9,UP,0.7497,0.2388,0.3186,0.2464,2722,282,282,282,SSTF
37,random,31,200,14,UP,0.8149,0.3212,0.2793,0.2645,2158,373,381,387,SSTF
38,random,17,150,124,UP,0.77,0.2446,0.3911,0.2728,764,156,170,270,SSTF
39,random,46,200,32,DOWN,0.7859,0.4842,0.4276,0.2266,2925,347,222,398,SCAN
40,random,22,250,135,DOWN,0.709,0.2095,0.3982,0.2657,1522,340,348,498,SSTF
