sample_id,pattern,arrival_pattern,count,disk_size,initial_head,direction,spread,density,clustering,direction_bias,fcfs_dist,sstf_dist,scan_dist,cscan_dist,fcfs_var,sstf_var,scan_var,cscan_var,best_algorithm
1,random,sequential,50,150,6,DOWN,0.7752,0.7246,0.3724,0.2066,2454,143,155,292,12872.78,5920.9,6094.53,6297.11,C-SCAN
2,random,continuous,18,150,139,UP,0.7381,0.2707,0.3456,0.2277,907,138,158,292,3431.75,1085.84,1107.84,1509.77,SSTF
3,random,sequential,12,150,23,UP,0.7534,0.186,0.2436,0.2261,738,234,274,286,1331.93,727.59,849.06,883.53,SSTF
4,random,continuous,48,150,143,UP,0.7929,0.6621,0.3989,0.23,2052,147,153,290,16689.13,6363.22,6414.1,6868.77,C-SCAN
5,random,sequential,24,300,142,UP,0.8569,0.1622,0.3834,0.2503,2546,449,455,566,11218.04,2894.03,2966.27,4024.79,SSTF
6,random,sequential,37,250,71,UP,0.801,0.296,0.3618,0.2358,2754,463,427,496,15971.96,4437.3,4233.99,4631.06,C-SCAN
7,random,random,16,150,97,UP,0.6963,0.2581,0.4604,0.2801,803,155,195,285,1193.92,809.39,944.75,1403.68,SSTF
8,random,bursty,48,250,206,UP,0.7934,0.4034,0.319,0.2209,4294,435,284,493,23378.47,5299.53,5667.31,8681.04,SCAN
9,random,continuous,17,300,40,DOWN,0.7314,0.1298,0.3255,0.2998,1273,279,323,577,7163.09,1172.6,1284.06,2790.93,SSTF
10,random,all_at_once,46,200,180,UP,0.7997,0.4718,0.3552,0.2138,2752,374,218,394,35524.26,6931.26,6757.93,6949.69,C-SCAN
11,random,all_at_once,24,250,20,UP,0.8104,0.2025,0.3971,0.2228,2429,249,471,494,21998.29,2531.57,3075.23,3159.27,SSTF
12,random,random,27,300,186,UP,0.8122,0.1908,0.2874,0.2264,2801,473,405,586,11961.22,3364.77,3396.74,4609.76,SCAN
13,random,continuous,23,250,179,UP,0.8206,0.1878,0.3374,0.2372,1942,330,314,490,11811.93,2533.68,2504.79,3319.4,SCAN
14,random,sequential,20,400,373,UP,0.7748,0.113,0.3762,0.2129,2641,353,405,783,10004.44,2247.96,2549.58,3339.69,C-SCAN
15,random,random,34,250,236,UP,0.8257,0.2857,0.4356,0.2252,3765,241,259,494,25428.69,3951.03,4083.39,4823.67,C-SCAN
16,random,random,24,150,80,DOWN,0.7029,0.3871,0.4047,0.2366,1199,185,221,280,4222.89,1497.81,1715.31,2550.68,SSTF
17,random,sequential,23,400,367,DOWN,0.7581,0.1326,0.4977,0.2453,3222,365,365,365,21348.67,2632.99,2632.99,2632.99,C-SCAN
18,random,random,41,300,234,UP,0.845,0.2761,0.4211,0.2436,3880,360,362,579,38275.57,6844.31,6917.57,7507.79,C-SCAN
19,random,continuous,25,400,275,DOWN,0.7519,0.1416,0.3997,0.2512,2768,593,661,738,22504.09,4412.63,4984.0,5645.3,SSTF
20,random,sequential,47,300,185,UP,0.8453,0.3197,0.43,0.2042,5473,476,411,594,68621.5,9797.51,6196.84,7057.22,C-SCAN
21,random,sequential,41,150,12,UP,0.8495,0.5467,0.4944,0.2326,2138,161,286,297,9801.93,4851.71,4218.35,4092.24,C-SCAN
22,random,bursty,20,300,32,DOWN,0.8003,0.1423,0.3237,0.2573,2401,293,331,575,8953.25,1721.14,1914.38,2181.23,SSTF
23,random,all_at_once,39,400,128,UP,0.754,0.2108,0.4596,0.2456,4697,481,654,796,70976.38,7273.81,8441.95,10393.58,SSTF
24,random,all_at_once,44,250,196,DOWN,0.7894,0.3563,0.5435,0.2375,3044,300,444,498,39292.6,6759.15,8546.21,9086.36,SSTF
25,random,random,37,200,116,UP,0.7871,0.3957,0.3445,0.2271,2506,302,282,397,14830.12,3406.31,4795.12,5205.92,SSTF
26,random,continuous,21,400,54,DOWN,0.808,0.1094,0.2869,0.2952,2811,421,453,783,14957.58,2570.26,2735.84,5377.46,SSTF
27,random,continuous,22,200,95,UP,0.7765,0.2444,0.2984,0.2634,1004,270,296,376,4016.85,2303.44,2508.39,2921.89,SSTF
28,random,all_at_once,10,400,165,DOWN,0.7487,0.0575,0.376,0.2222,1049,575,557,779,4850.26,1635.2,1932.16,3682.07,SSTF
29,random,sequential,33,250,61,UP,0.826,0.2694,0.3047,0.2221,2967,302,434,478,17121.95,4096.06,4594.14,4640.24,C-SCAN
30,random,continuous,15,150,124,UP,0.4852,0.3448,0.3013,0.2326,577,121,171,263,1514.72,705.35,705.35,1025.82,SSTF
31,random,random,18,300,281,UP,0.767,0.13,0.438,0.3494,1039,277,313,597,2209.08,922.12,1008.04,3376.06,SSTF
32,random,random,48,300,108,UP,0.8073,0.3299,0.3271,0.2194,4622,487,483,596,43614.02,6209.72,6018.89,7316.94,SCAN
33,random,all_at_once,33,300,264,DOWN,0.8271,0.2284,0.5116,0.2559,3244,321,561,590,40898.95,4645.69,5804.7,6095.0,SSTF
34,random,continuous,24,150,86,UP,0.8455,0.3265,0.3918,0.2782,1504,231,211,296,9355.4,2054.84,2629.1,3338.41,SSTF
35,random,all_at_once,24,400,112,UP,0.8374,0.124,0.3863,0.2907,3540,493,681,745,37526.72,3988.66,5060.96,5727.59,SSTF
36,random,all_at_once,50,150,58,UP,0.7977,0.6803,0.4733,0.232,2094,202,238,295,30320.65,7875.35,8392.63,9283.79,SSTF
37,random,bursty,14,400,121,DOWN,0.7229,0.0798,0.4017,0.2226,1510,451,493,797,3435.75,870.84,983.06,3631.37,SCAN
38,random,sequential,44,200,185,DOWN,0.8271,0.4422,0.4092,0.234,2817,217,383,394,15525.83,5245.89,5943.31,5882.39,C-SCAN
39,random,bursty,36,200,24,UP,0.8483,0.3618,0.3609,0.2509,3022,374,374,397,7557.91,4534.81,4981.2,4940.24,C-SCAN
40,random,all_at_once,37,300,239,UP,0.7377,0.2711,0.5323,0.2643,3109,323,351,596,36326.79,5361.69,5411.06,6681.71,SSTF
41,random,sequential,35,250,204,UP,0.8044,0.2893,0.4515,0.2261,2238,284,290,497,10120.65,3035.49,3018.47,6034.96,SSTF
42,random,bursty,22,400,229,UP,0.7108,0.129,0.3021,0.2131,2659,479,541,790,11734.31,3242.96,3631.77,5753.51,C-SCAN
43,random,bursty,27,300,127,UP,0.8023,0.1862,0.5086,0.2787,2368,413,468,596,5136.72,3657.89,3695.74,4735.54,SSTF
44,random,all_at_once,16,150,138,UP,0.7738,0.2481,0.3594,0.2843,990,129,149,295,5154.57,1078.27,1105.59,1259.55,SSTF
45,random,bursty,25,200,104,DOWN,0.7528,0.2793,0.3043,0.2682,1613,263,293,393,2394.88,2489.97,2903.75,3954.87,SSTF
46,random,all_at_once,35,150,42,DOWN,0.8485,0.4698,0.4234,0.2224,1505,254,190,293,16047.74,4499.22,4187.41,4729.38,C-SCAN
47,random,continuous,26,300,146,DOWN,0.8144,0.1781,0.3425,0.2163,3288,444,445,597,32348.73,4182.9,3998.27,5385.14,SCAN
48,random,sequential,41,200,48,DOWN,0.822,0.4184,0.4008,0.2216,2696,345,246,396,15662.29,5951.11,4719.09,4931.49,C-SCAN
49,random,all_at_once,47,400,31,DOWN,0.7562,0.2513,0.4272,0.2122,5955,410,428,792,105026.98,8179.74,8104.72,8594.1,C-SCAN
50,random,all_at_once,47,300,257,UP,0.8364,0.3165,0.4302,0.2395,4643,337,339,592,84794.65,8166.5,8251.83,11458.12,SSTF
51,random,sequential,15,200,17,UP,0.7692,0.1648,0.3819,0.326,1064,196,379,388,1990.36,1368.97,1670.39,1658.7,SSTF
52,random,continuous,17,400,126,UP,0.7888,0.0916,0.2274,0.2761,2069,499,671,765,10722.43,2928.75,3779.51,4713.4,SSTF
53,random,random,36,400,289,DOWN,0.7338,0.2069,0.3514,0.2408,4372,413,644,797,29909.21,5577.36,5732.3,7288.82,SSTF
54,random,sequential,30,200,67,DOWN,0.8138,0.3046,0.3597,0.2139,1709,338,264,394,7729.97,3227.43,2438.23,5033.39,SCAN
55,random,all_at_once,29,300,161,UP,0.7514,0.2117,0.3391,0.239,2648,420,421,589,28011.55,4617.06,5059.45,6833.67,SSTF
56,random,continuous,49,400,51,UP,0.7687,0.2606,0.4828,0.2067,5631,713,733,761,82102.94,8289.64,8345.48,8419.93,C-SCAN
57,random,all_at_once,42,250,33,DOWN,0.8199,0.3443,0.3719,0.2346,3599,459,282,498,49965.47,6989.65,6376.96,7143.74,C-SCAN
58,random,continuous,33,250,40,DOWN,0.7925,0.2727,0.3178,0.2649,2971,451,286,496,26035.99,4109.62,3469.03,5180.39,SCAN
59,random,continuous,29,400,334,UP,0.8026,0.1563,0.5376,0.2392,4583,430,440,711,51911.03,4483.57,4597.7,6317.7,SSTF
60,random,all_at_once,16,200,67,UP,0.6077,0.2148,0.3521,0.2278,723,209,323,384,3122.93,1310.53,2053.78,2584.12,SSTF
61,random,continuous,45,200,69,DOWN,0.8331,0.4523,0.318,0.246,2649,271,267,397,26129.66,5324.25,5303.86,7351.28,SCAN
